               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.038168,            0.014185,            0.002518,             0.77086,             0.82646,             0.85895,             0.47546,              0.0258,           0.0097275,           0.0015923,           0.0097178,           0.0097178,           0.0097178
                  36,            0.038131,            0.014278,           0.0019462,             0.66446,             0.78004,             0.78607,             0.44225,             0.02906,           0.0096473,           0.0013556,           0.0097011,           0.0097011,           0.0097011
                  37,            0.040191,            0.013057,            0.001838,             0.71188,             0.84561,             0.86237,             0.48936,            0.027383,           0.0095354,           0.0011842,            0.009684,            0.009684,            0.009684
                  38,            0.039935,             0.01384,           0.0018103,             0.69683,              0.8202,             0.86208,             0.47352,             0.02664,           0.0097083,           0.0012901,           0.0096664,           0.0096664,           0.0096664
                  39,            0.039817,            0.013412,           0.0020489,             0.80952,             0.87682,             0.89134,             0.42655,            0.028166,           0.0094937,           0.0013703,           0.0096484,           0.0096484,           0.0096484
                  40,            0.038719,             0.01343,           0.0018974,             0.71147,             0.87587,              0.8655,             0.44854,            0.027466,           0.0092623,           0.0012112,           0.0096299,           0.0096299,           0.0096299
                  41,            0.035899,            0.012533,           0.0016134,             0.72229,             0.79507,             0.81265,              0.5056,            0.025623,           0.0090708,           0.0013752,            0.009611,            0.009611,            0.009611
                  42,            0.036999,            0.012736,           0.0016266,             0.71421,             0.85589,             0.88166,             0.48802,            0.025548,           0.0089695,            0.001311,           0.0095916,           0.0095916,           0.0095916
                  43,            0.036238,            0.012153,           0.0015719,               0.802,             0.90843,             0.90566,             0.49591,            0.025495,           0.0090241,             0.00116,           0.0095717,           0.0095717,           0.0095717
                  44,            0.035652,            0.012623,           0.0017694,             0.75194,             0.83187,               0.855,             0.51549,            0.023907,            0.009008,           0.0011432,           0.0095514,           0.0095514,           0.0095514
                  45,            0.036993,            0.012238,           0.0018158,              0.7868,             0.87821,              0.8731,             0.42421,            0.027026,           0.0089564,           0.0012455,           0.0095307,           0.0095307,           0.0095307
                  46,            0.037054,            0.012009,           0.0017218,             0.77508,             0.88231,             0.90136,             0.54637,            0.023093,           0.0089009,           0.0013231,           0.0095095,           0.0095095,           0.0095095
                  47,            0.034626,            0.012252,            0.001515,             0.79418,             0.88822,             0.88323,             0.50849,            0.026226,           0.0087263,           0.0011461,           0.0094879,           0.0094879,           0.0094879
                  48,            0.037364,            0.012789,           0.0014984,             0.73842,             0.81226,             0.81527,             0.42739,            0.026287,           0.0086222,           0.0010012,           0.0094659,           0.0094659,           0.0094659
                  49,             0.03545,            0.011862,           0.0015084,             0.73503,             0.88798,             0.85866,             0.50587,            0.025759,           0.0085739,          0.00098438,           0.0094434,           0.0094434,           0.0094434
                  50,            0.033613,            0.011629,           0.0015064,             0.85845,             0.88855,             0.91533,             0.51542,            0.025484,           0.0085409,           0.0011631,           0.0094205,           0.0094205,           0.0094205
                  51,            0.036634,             0.01182,           0.0015869,             0.84905,             0.94481,             0.94274,             0.49339,            0.027167,           0.0084641,           0.0010783,           0.0093971,           0.0093971,           0.0093971
                  52,            0.033227,            0.011389,           0.0017883,             0.88324,             0.90372,              0.9252,             0.55782,            0.023496,           0.0083849,           0.0011842,           0.0093733,           0.0093733,           0.0093733
                  53,            0.032981,            0.011381,           0.0015459,             0.80633,             0.90977,             0.91543,             0.58224,            0.023198,           0.0083401,           0.0010204,           0.0093491,           0.0093491,           0.0093491
                  54,            0.035797,            0.011647,           0.0014341,             0.84807,             0.87182,             0.89975,             0.50261,             0.02459,           0.0082022,           0.0011339,           0.0093245,           0.0093245,           0.0093245
                  55,            0.033173,            0.011974,           0.0015442,             0.87228,             0.91404,             0.91151,             0.58935,            0.022816,            0.008195,           0.0010171,           0.0092995,           0.0092995,           0.0092995
                  56,            0.034184,            0.011655,           0.0013989,             0.79961,             0.87865,             0.88126,             0.56319,            0.023979,           0.0081196,          0.00095436,            0.009274,            0.009274,            0.009274
                  57,            0.033757,             0.01177,             0.00139,              0.8332,             0.89891,             0.93586,             0.56474,            0.023992,           0.0082008,           0.0011951,           0.0092481,           0.0092481,           0.0092481
                  58,             0.03224,            0.011173,           0.0015217,             0.88626,             0.90006,             0.91255,             0.56369,            0.023007,           0.0081807,           0.0012582,           0.0092219,           0.0092219,           0.0092219
                  59,             0.03183,            0.010792,           0.0013348,             0.89349,             0.92617,             0.93313,             0.59182,             0.02203,           0.0078935,          0.00090153,           0.0091952,           0.0091952,           0.0091952
                  60,            0.033863,             0.01145,           0.0012152,             0.87881,              0.8978,             0.92389,             0.53333,             0.02414,            0.008202,          0.00086981,           0.0091681,           0.0091681,           0.0091681
