               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10027,            0.032626,            0.043421,                   0,                   0,                   0,                   0,            0.076485,            0.028342,            0.031534,             0.00058,             0.00058,             0.09478
                   1,             0.09358,            0.040826,            0.040477,          0.00070473,            0.039241,          0.00046511,          0.00012245,            0.074164,            0.029775,            0.030221,           0.0011697,           0.0011697,             0.08947
                   2,            0.092286,            0.039661,            0.037925,          0.00069865,            0.026507,          0.00039271,          9.5205e-05,            0.073795,            0.029624,             0.02903,           0.0017584,           0.0017584,            0.084158
                   3,             0.08843,            0.043145,              0.0359,           0.0013936,            0.036727,          0.00075476,          0.00016223,            0.072566,             0.02984,            0.027188,           0.0023453,           0.0023453,            0.078845
                   4,            0.087913,             0.04214,            0.032264,          0.00093125,            0.036706,          0.00051881,          0.00011331,            0.079077,            0.031531,            0.023393,           0.0029296,           0.0029296,             0.07353
                   5,            0.081546,            0.044369,            0.024299,             0.01184,             0.16981,           0.0086222,           0.0019961,            0.071422,            0.053252,            0.020267,           0.0035104,           0.0035104,             0.06821
                   6,            0.077064,             0.03772,            0.017426,             0.35212,             0.21078,            0.094707,            0.023686,             0.06372,            0.024819,            0.012482,           0.0040872,           0.0040872,            0.062887
                   7,            0.077156,            0.032281,             0.01011,             0.60289,              0.2112,            0.096502,            0.023334,             0.07299,             0.01877,           0.0097414,            0.004659,            0.004659,            0.057559
                   8,            0.076638,            0.027608,           0.0064865,             0.74066,             0.30935,             0.24057,            0.060072,            0.052278,              0.0227,            0.010033,           0.0052251,           0.0052251,            0.052225
                   9,            0.071899,            0.027758,           0.0057469,             0.79206,             0.29018,             0.30948,            0.083986,            0.046338,            0.022037,           0.0093336,           0.0057848,           0.0057848,            0.046885
                  10,             0.06916,            0.027052,           0.0049469,             0.68572,             0.37934,             0.21986,            0.057279,            0.044244,            0.020724,           0.0080374,           0.0063373,           0.0063373,            0.041537
                  11,            0.068718,            0.026708,           0.0047689,             0.66485,             0.33395,             0.22448,            0.071002,            0.043576,             0.01923,           0.0073377,           0.0068819,           0.0068819,            0.036182
                  12,            0.067967,            0.024847,           0.0047888,             0.78659,             0.32892,             0.41322,             0.13256,            0.043437,            0.020151,           0.0067172,           0.0074179,           0.0074179,            0.030818
                  13,            0.067113,            0.026096,           0.0050982,             0.84457,             0.32696,             0.46125,             0.18862,            0.040871,            0.019431,           0.0048943,           0.0079447,           0.0079447,            0.025445
                  14,            0.066367,            0.026593,           0.0044078,              0.3358,             0.62254,             0.41426,             0.13937,            0.039235,            0.019718,           0.0047322,           0.0084614,           0.0084614,            0.020061
                  15,            0.063087,            0.026618,           0.0048443,             0.46712,             0.64582,             0.50015,             0.18581,            0.039975,            0.017828,           0.0040892,           0.0089675,           0.0089675,            0.014667
                  16,            0.065208,            0.024561,           0.0040125,             0.37158,             0.66485,             0.46633,              0.1462,              0.0414,            0.019286,           0.0035904,           0.0094434,           0.0094434,           0.0094434
