               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.025958,            0.014547,          0.00095977,             0.84574,             0.86416,             0.88848,              0.5898,            0.018531,           0.0099881,          0.00056162,           0.0045184,           0.0045184,           0.0045184
                  59,            0.027276,            0.014117,          0.00075664,             0.83178,             0.90071,             0.90161,              0.6045,            0.018255,           0.0099384,          0.00049616,           0.0043809,           0.0043809,           0.0043809
                  60,            0.025587,             0.01466,          0.00078121,              0.8216,             0.90007,             0.88323,             0.59987,            0.017943,            0.010019,          0.00051622,           0.0042445,           0.0042445,           0.0042445
                  61,            0.025255,            0.013028,          0.00076726,             0.81512,               0.897,              0.8771,             0.57699,            0.018712,           0.0098945,          0.00048066,           0.0041094,           0.0041094,           0.0041094
                  62,            0.023976,            0.012816,          0.00068519,             0.85208,             0.87905,             0.88644,             0.59434,              0.0182,           0.0099302,          0.00043298,           0.0039757,           0.0039757,           0.0039757
                  63,            0.025821,            0.014046,             0.00071,             0.87803,              0.8609,             0.87899,              0.5874,            0.018418,           0.0099271,          0.00043313,           0.0038434,           0.0038434,           0.0038434
                  64,             0.02461,            0.013595,          0.00067947,             0.84308,             0.87878,             0.88691,             0.58877,            0.018794,           0.0099393,          0.00042476,           0.0037128,           0.0037128,           0.0037128
                  65,            0.025403,            0.013237,          0.00069433,             0.84116,             0.87952,             0.87933,               0.594,            0.018086,           0.0097816,          0.00041508,            0.003584,            0.003584,            0.003584
                  66,            0.024596,            0.012941,          0.00072521,             0.85017,             0.85536,              0.8719,             0.59532,            0.017977,           0.0098873,          0.00040284,            0.003457,            0.003457,            0.003457
                  67,            0.023813,             0.01279,          0.00066093,             0.81867,             0.86379,             0.86588,             0.59552,              0.0178,           0.0097468,          0.00038435,           0.0033321,           0.0033321,           0.0033321
                  68,            0.023788,            0.012718,          0.00058584,             0.80869,             0.89601,             0.88327,              0.5843,             0.01808,           0.0098372,          0.00037544,           0.0032093,           0.0032093,           0.0032093
                  69,            0.024135,            0.013602,          0.00057934,             0.84075,             0.88678,             0.88418,             0.60497,            0.017456,            0.009912,          0.00037471,           0.0030888,           0.0030888,           0.0030888
                  70,            0.023422,            0.012178,          0.00049076,             0.82935,             0.88364,             0.88862,             0.61443,            0.017261,           0.0098418,          0.00035178,           0.0029706,           0.0029706,           0.0029706
                  71,            0.023101,            0.012798,          0.00050932,             0.82779,             0.89478,             0.88597,             0.60971,            0.017366,           0.0098297,          0.00033886,            0.002855,            0.002855,            0.002855
                  72,            0.023298,            0.013202,          0.00047355,             0.84972,             0.88651,             0.88736,             0.60174,            0.017828,           0.0099621,          0.00033305,           0.0027419,           0.0027419,           0.0027419
                  73,             0.02387,            0.012484,          0.00049345,             0.85132,             0.89008,             0.89213,              0.6142,            0.017269,           0.0097673,          0.00032972,           0.0026316,           0.0026316,           0.0026316
                  74,            0.023001,            0.012643,           0.0004794,             0.86608,             0.89132,             0.89791,             0.61396,            0.017373,           0.0096801,          0.00032291,           0.0025241,           0.0025241,           0.0025241
                  75,            0.022978,             0.01312,          0.00050126,             0.86572,             0.89259,             0.90189,             0.62049,            0.017264,           0.0097597,          0.00032679,           0.0024195,           0.0024195,           0.0024195
                  76,            0.022142,             0.01192,          0.00047946,             0.85714,             0.89563,               0.904,             0.60686,            0.017728,           0.0097677,          0.00032764,            0.002318,            0.002318,            0.002318
                  77,            0.023139,             0.01301,          0.00045972,             0.85241,             0.91161,             0.91786,             0.62409,            0.017309,            0.009701,          0.00031654,           0.0022196,           0.0022196,           0.0022196
                  78,            0.022294,            0.011926,          0.00045137,             0.84935,             0.88865,             0.90945,             0.61823,            0.017313,           0.0096552,          0.00031212,           0.0021245,           0.0021245,           0.0021245
                  79,            0.021742,            0.012046,          0.00045706,             0.84495,             0.91721,             0.91311,             0.61124,            0.017702,           0.0097184,           0.0003002,           0.0020327,           0.0020327,           0.0020327
                  80,            0.022787,            0.013152,          0.00038916,             0.85959,             0.90706,             0.91589,              0.6245,            0.017211,           0.0097552,           0.0002882,           0.0019443,           0.0019443,           0.0019443
                  81,            0.021841,            0.011797,          0.00043135,              0.8498,             0.91576,             0.91442,             0.62375,             0.01734,           0.0098036,          0.00028659,           0.0018594,           0.0018594,           0.0018594
                  82,            0.021943,            0.012505,          0.00049814,             0.85428,             0.89713,             0.89409,             0.61548,            0.017328,           0.0098005,          0.00028491,           0.0017781,           0.0017781,           0.0017781
                  83,            0.021748,            0.012069,          0.00042172,             0.86689,             0.88766,             0.90041,             0.61735,            0.017345,           0.0097916,          0.00029218,           0.0017005,           0.0017005,           0.0017005
                  84,             0.02237,            0.012407,          0.00039387,             0.86745,              0.8991,             0.89944,             0.62174,            0.017167,           0.0097111,          0.00029157,           0.0016267,           0.0016267,           0.0016267
                  85,            0.021904,            0.012416,          0.00054279,             0.86615,             0.90615,             0.89901,             0.62068,             0.01727,           0.0096945,          0.00028288,           0.0015566,           0.0015566,           0.0015566
                  86,            0.022152,            0.012488,          0.00036071,              0.8549,             0.90123,             0.89937,             0.62502,            0.017222,           0.0096804,          0.00028143,           0.0014905,           0.0014905,           0.0014905
                  87,            0.022195,            0.012554,          0.00035118,             0.87601,             0.89598,             0.90267,             0.62892,            0.017357,           0.0097507,          0.00028235,           0.0014283,           0.0014283,           0.0014283
                  88,            0.021319,            0.012437,          0.00036395,             0.87061,             0.89943,             0.90184,             0.62581,            0.017277,           0.0098025,          0.00027729,           0.0013701,           0.0013701,           0.0013701
                  89,            0.022269,            0.012138,          0.00041772,             0.87112,             0.89976,             0.90732,             0.63356,             0.01711,           0.0098064,          0.00028625,            0.001316,            0.001316,            0.001316
                  90,            0.021907,            0.011666,          0.00035638,             0.89029,             0.87529,             0.90064,             0.63212,             0.01712,           0.0097908,          0.00027745,            0.001266,            0.001266,            0.001266
                  91,            0.021717,            0.012338,           0.0003675,             0.85021,             0.89979,             0.89784,             0.62444,            0.017202,           0.0097853,          0.00026668,           0.0012202,           0.0012202,           0.0012202
                  92,            0.021499,            0.012369,          0.00034498,             0.84813,             0.90365,             0.89908,             0.62733,            0.017215,           0.0097371,          0.00026304,           0.0011787,           0.0011787,           0.0011787
                  93,            0.021708,            0.012383,          0.00041022,             0.87896,             0.88253,              0.8979,             0.62464,            0.017215,            0.009731,           0.0002599,           0.0011414,           0.0011414,           0.0011414
                  94,            0.020921,            0.012194,          0.00032397,             0.88258,             0.88316,             0.89974,             0.62262,            0.017218,           0.0097843,           0.0002586,           0.0011084,           0.0011084,           0.0011084
                  95,            0.020928,            0.012065,          0.00039602,             0.87298,             0.88643,             0.89919,             0.62304,            0.017266,           0.0097513,          0.00025366,           0.0010797,           0.0010797,           0.0010797
                  96,            0.021732,            0.011397,          0.00037567,             0.86069,             0.90387,             0.89897,             0.62519,            0.017211,           0.0097448,          0.00025266,           0.0010554,           0.0010554,           0.0010554
                  97,            0.020438,            0.010852,          0.00034954,             0.85761,             0.90355,             0.89666,             0.62457,            0.017221,           0.0097264,          0.00024812,           0.0010355,           0.0010355,           0.0010355
                  98,            0.021014,            0.010814,          0.00030923,             0.86835,             0.90171,             0.90217,              0.6253,            0.017177,            0.009723,           0.0002412,             0.00102,             0.00102,             0.00102
                  99,            0.021727,            0.011926,          0.00034394,             0.86154,             0.90107,             0.89855,             0.62515,            0.017128,           0.0096075,          0.00023764,           0.0010089,           0.0010089,           0.0010089
